Ns,es,bs
2.0,5.293485615734964,Inf
4.0,1.124018171658454,536.0575888676544
6.0,0.2540478063024487,169.20752682783038
8.0,0.1411916489369922,88.65765764604781
10.0,0.04494448047918631,56.56485878886826
12.0,0.032223930316597205,40.06471463785931
14.0,0.022967676858570485,30.27510907550387
16.0,0.019520190814362515,23.90727011848721
18.0,0.015004974859321507,19.49077662618473
20.0,0.012540128541914441,16.279251057865398
22.0,0.009622823325337038,13.857475812565971
24.0,0.00840941531317796,11.9778479338416
26.0,0.004541544375964435,10.484442603453967
