Ns,es,bs
100,0.6838243215980242,2.314590103402954e7
150,0.9834167433384664,2.198517965648982e7
200,1.2846602951535715,2.0969642202546373e7
250,1.0403939978303924,2.0096334592554886e7
300,0.9460582025014617,1.9339345474405512e7
350,0.9871025231158228,1.6145860729157042e7
400,1.5814274796026666,1.3667606654332403e7
450,0.8983267403589537,1.0593135077485232e7
500,1.1600828662112121,7.435179138497089e6
550,0.7214953178060739,4.295102492747924e6
600,0.2616772004649306,1.5559133912141318e6
650,8.635342396701162e-8,206581.17880703704
700,4.206412995699793e-12,6147.982322413507
750,8.185452315956354e-12,34.78908892479525
800,3.524291969370097e-12,0.03742437568621549
