Ns,es,bs
2,4.1180477495672,Inf
4,0.9508477387614862,536.0575888676544
6,0.4169463513587388,169.20752682783038
8,0.09337714188309931,88.65765764604781
10,0.046410854909900046,56.56485878886826
12,0.034440709120630686,40.06471463785931
14,0.033590576067503264,30.27510907550387
16,0.01881899253782926,23.90727011848721
18,0.017560406958919472,19.49077662618473
20,0.013387470212007813,16.279251057865398
22,0.008460935397696545,13.857475812565971
24,0.0076897451155968355,11.9778479338416
26,0.006850928189681582,10.484442603453967
