Ns,es,bs
10,61.388477167253384,7532.639960741052
15,72.80462555662459,10806.153453251289
20,59.8308504932219,13777.31565723176
25,49.657063109010544,16510.038374248834
30,45.52780902566427,19050.17607225454
35,3.3598784612892842,2671.9732120282497
40,0.20744353138998406,34.76308284171195
45,0.0019577919338900074,0.44842608496377334
50,2.7552903901550962e-5,0.0034302312541256838
55,5.312686823799595e-8,1.4058030993723e-5
60,2.944560151263431e-10,3.363593991879841e-8
65,2.6574298317427747e-12,5.01278790500584e-11
70,4.959588295605499e-12,4.8911809521527284e-14
75,4.078515303262975e-12,3.250256007259414e-17
