Ns,es,bs
2,0.7812272835770048,278.07356596821865
4,0.1498503725167375,42.90337954590839
6,0.00873105123766249,4.568228540307792
8,0.0006253405953410285,0.30012424086236994
10,3.222741338115842e-5,0.018137482572192793
12,9.999092525081466e-7,0.0007444672307143056
14,4.540038334166496e-8,3.0044497609381708e-5
16,1.124265014418313e-9,9.83015183765396e-7
18,4.44168035684811e-11,2.7565174749674466e-8
20,7.988054662178001e-13,7.673412509830236e-10
22,3.0309088572266774e-14,1.8033103607481428e-11
24,2.8310687127941492e-14,3.6995372671116904e-13
26,3.552713678800501e-14,7.559411240048291e-15
