Ns,es,bs
2,225257.25925062218,NaN
4,44333.03889823025,NaN
6,4.0745362639427185e-10,NaN
8,3.7834979593753815e-10,NaN
10,5.820766091346741e-10,NaN
12,5.820766091346741e-10,NaN
14,7.566995918750763e-10,NaN
16,1.1059455573558807e-9,NaN
18,1.1059455573558807e-9,NaN
20,1.076841726899147e-9,NaN
