Ns,es,bs
2.0,0.8359329203402486,2918.342053344091
4.0,0.1432701944098005,1429.4869036470784
6.0,0.009579861755916075,507.62258048349116
8.0,0.0005231915963672673,170.22270268041177
10.0,2.4474564401355536e-5,53.073200838938114
12.0,1.180358185859376e-6,14.87498181354448
14.0,4.3996058685102923e-8,3.836128322799441
16.0,1.666828119972763e-9,0.9113912309121143
18.0,3.531441805648683e-11,0.2020803720602833
20.0,9.662270983312737e-13,0.04200189656020169
22.0,2.731148640577885e-14,0.008246659178024104
24.0,2.786659791809143e-14,0.0015357084078437605
26.0,3.497202527569243e-14,0.00027260670528604343
